lat,lon,start_date
35.0,134.0,20240101
35.0,135.0,20240101
35.0,136.0,20240101
35.0,137.0,20240101
35.0,138.0,20240101
35.0,139.0,20240101
35.0,140.0,20240101
35.0,141.0,20240101
35.0,142.0,20240101
35.0,143.0,20240101
35.0,144.0,20240101
35.0,145.0,20240101
35.0,146.0,20240101
36.0,122.0,20240101
36.0,123.0,20240101
36.0,124.0,20240101
36.0,125.0,20240101
36.0,126.0,20240101
36.0,127.0,20240101
36.0,128.0,20240101
36.0,129.0,20240101
36.0,130.0,20240101
36.0,131.0,20240101
36.0,132.0,20240101
36.0,133.0,20240101
36.0,134.0,20240101
36.0,135.0,20240101
36.0,136.0,20240101
36.0,137.0,20240101
36.0,138.0,20240101
36.0,139.0,20240101
36.0,140.0,20240101
36.0,141.0,20240101
36.0,142.0,20240101
36.0,143.0,20240101
36.0,144.0,20240101
36.0,145.0,20240101
36.0,146.0,20240101
37.0,122.0,20240101
37.0,123.0,20240101
37.0,124.0,20240101
37.0,125.0,20240101
37.0,126.0,20240101
37.0,127.0,20240101
37.0,128.0,20240101
37.0,129.0,20240101
37.0,130.0,20240101
37.0,131.0,20240101
37.0,132.0,20240101
37.0,133.0,20240101
37.0,134.0,20240101
37.0,135.0,20240101
37.0,136.0,20240101
37.0,137.0,20240101
37.0,138.0,20240101
37.0,139.0,20240101
37.0,140.0,20240101
37.0,141.0,20240101
37.0,142.0,20240101
37.0,143.0,20240101
37.0,144.0,20240101
37.0,145.0,20240101
37.0,146.0,20240101
38.0,122.0,20240101
38.0,123.0,20240101
38.0,124.0,20240101
38.0,125.0,20240101
38.0,126.0,20240101
