lat,lon,cum_gdd
36.0,135.0,382.0199999999999
36.0,136.0,326.34999999999997
36.0,137.0,142.17
36.0,138.0,162.69
36.0,139.0,225.5
36.0,140.0,505.08
36.0,141.0,665.51
36.0,142.0,795.8000000000002
36.0,143.0,785.2099999999999
36.0,144.0,772.4400000000002
36.0,145.0,704.4300000000002
36.0,146.0,639.6600000000002
37.0,122.0,319.82000000000005
37.0,123.0,163.56
37.0,124.0,174.91
37.0,125.0,185.01000000000005
37.0,126.0,216.63
37.0,127.0,296.64000000000004
37.0,128.0,262.66
37.0,129.0,205.6
37.0,130.0,402.3
37.0,131.0,366.2700000000001
37.0,132.0,375.6799999999999
37.0,133.0,365.98
37.0,134.0,350.07
37.0,135.0,324.90000000000003
37.0,136.0,345.30999999999995
37.0,137.0,365.50999999999993
37.0,138.0,243.53999999999996
37.0,139.0,177.26000000000005
37.0,140.0,235.57999999999987
37.0,141.0,499.65999999999985
37.0,142.0,615.5099999999999
37.0,143.0,693.5900000000001
37.0,144.0,685.2400000000002
37.0,145.0,603.1
37.0,146.0,395.6499999999999
38.0,122.0,166.56
38.0,123.0,159.76999999999998
38.0,124.0,144.91999999999996
38.0,125.0,181.54000000000005
38.0,126.0,276.51000000000005
38.0,127.0,281.67
38.0,128.0,182.59999999999997
38.0,129.0,285.75999999999993
38.0,130.0,351.2600000000001
38.0,131.0,285.86000000000007
38.0,132.0,262.9799999999999
38.0,133.0,273.62999999999994
38.0,134.0,268.71
38.0,135.0,253.24999999999994
38.0,136.0,271.24999999999994
38.0,137.0,263.34
38.0,138.0,264.56
38.0,139.0,281.85999999999996
38.0,140.0,186.92
38.0,141.0,366.62
38.0,142.0,464.8400000000002
38.0,143.0,583.0299999999999
38.0,144.0,610.47
38.0,145.0,566.4
38.0,146.0,366.35
39.0,122.0,198.43
39.0,123.0,134.06999999999996
39.0,124.0,108.38999999999999
39.0,125.0,168.64
39.0,126.0,223.18
39.0,127.0,142.87000000000003
39.0,128.0,255.59
39.0,129.0,259.38
39.0,130.0,254.00000000000003
39.0,131.0,248.79999999999993
39.0,132.0,237.90000000000003
39.0,133.0,203.99000000000004
39.0,134.0,199.47000000000003
39.0,135.0,203.16999999999993
39.0,136.0,209.68
39.0,137.0,204.32
39.0,138.0,207.08
39.0,139.0,210.08
39.0,140.0,198.31000000000003
39.0,141.0,217.62999999999994
39.0,142.0,298.1999999999999
39.0,143.0,463.3
39.0,144.0,494.5700000000002
39.0,145.0,470.17
39.0,146.0,313.3999999999999
40.0,122.0,203.32000000000002
40.0,123.0,232.86000000000004
40.0,124.0,229.53999999999996
40.0,125.0,184.09999999999997
40.0,126.0,160.25
40.0,127.0,78.17999999999999
40.0,128.0,219.03000000000006
40.0,129.0,183.09999999999997
40.0,130.0,124.22
40.0,131.0,98.87
40.0,132.0,113.47999999999999
40.0,133.0,100.88000000000002
40.0,134.0,129.49
40.0,135.0,143.66
40.0,136.0,139.12999999999997
40.0,137.0,149.10999999999999
40.0,138.0,154.93999999999997
40.0,139.0,158.97000000000003
40.0,140.0,190.96
40.0,141.0,133.11
40.0,142.0,165.79999999999995
40.0,143.0,309.84999999999997
40.0,144.0,335.78999999999996
40.0,145.0,346.56999999999994
40.0,146.0,265.62
41.0,122.0,290.8399999999999
41.0,123.0,247.78000000000003
41.0,124.0,171.94
41.0,125.0,117.77000000000001
41.0,126.0,132.26000000000002
41.0,127.0,53.26
41.0,128.0,35.72
41.0,129.0,84.25
41.0,130.0,94.65
41.0,131.0,57.09000000000002
41.0,132.0,45.56
41.0,133.0,41.73
41.0,134.0,44.19
41.0,135.0,54.77000000000002
41.0,136.0,67.72
41.0,137.0,86.58
41.0,138.0,88.89999999999999
41.0,139.0,100.42
41.0,140.0,129.19999999999996
41.0,141.0,147.67000000000002
41.0,142.0,117.50999999999999
41.0,143.0,152.51999999999998
41.0,144.0,138.43
41.0,145.0,174.99
41.0,146.0,175.07999999999998
42.0,122.0,283.6
42.0,123.0,271.18999999999994
42.0,124.0,249.96000000000006
42.0,125.0,148.32999999999998
42.0,126.0,87.83000000000003
42.0,127.0,79.55000000000001
42.0,128.0,11.739999999999998
42.0,129.0,43.49
42.0,130.0,116.37
42.0,131.0,26.71
42.0,132.0,17.38
42.0,133.0,10.38
42.0,134.0,8.43
42.0,135.0,11.220000000000002
42.0,136.0,12.45
42.0,137.0,29.49000000000001
42.0,138.0,42.510000000000005
42.0,139.0,52.26000000000001
42.0,140.0,77.03
42.0,141.0,52.5
42.0,142.0,48.55999999999999
42.0,143.0,23.389999999999997
42.0,144.0,2.66
42.0,145.0,16.270000000000003
42.0,146.0,57.59
43.0,122.0,268.44
43.0,123.0,244.44999999999993
43.0,124.0,237.45000000000007
43.0,125.0,186.67999999999998
43.0,126.0,159.49
43.0,127.0,129.29
43.0,128.0,78.84000000000002
43.0,129.0,101.67000000000002
43.0,130.0,122.16000000000003
43.0,131.0,77.5
43.0,132.0,54.889999999999986
43.0,133.0,46.94
43.0,134.0,35.999999999999986
43.0,135.0,0.5800000000000001
43.0,136.0,0.009999999999999787
43.0,137.0,2.8100000000000005
43.0,138.0,17.57
43.0,139.0,20.74
43.0,140.0,50.43
43.0,141.0,57.71000000000001
43.0,142.0,75.57000000000001
43.0,143.0,74.31
43.0,144.0,57.74
43.0,145.0,9.91
43.0,146.0,0.15000000000000036
44.0,122.0,285.65000000000003
44.0,123.0,256.87999999999994
44.0,124.0,231.60000000000002
44.0,125.0,210.0699999999999
44.0,126.0,183.79999999999995
44.0,127.0,134.89000000000001
44.0,128.0,34.34
44.0,129.0,71.57
44.0,130.0,50.45
44.0,131.0,98.43
44.0,132.0,132.19
44.0,133.0,75.08000000000001
44.0,134.0,43.559999999999995
44.0,135.0,36.52
44.0,136.0,0.16999999999999993
44.0,137.0,0.0
44.0,138.0,0.019999999999999574
44.0,139.0,1.1300000000000008
44.0,140.0,12.439999999999998
44.0,141.0,37.82000000000001
44.0,142.0,74.02000000000001
44.0,143.0,65.16
44.0,144.0,80.65
44.0,145.0,15.45
44.0,146.0,0.0
45.0,122.0,257.78999999999996
45.0,123.0,237.39999999999998
45.0,124.0,229.39999999999995
45.0,125.0,206.52999999999997
45.0,126.0,178.01000000000002
45.0,127.0,160.35999999999999
45.0,128.0,107.06
45.0,129.0,60.82
45.0,130.0,70.72999999999996
45.0,131.0,92.56000000000002
45.0,132.0,141.66000000000003
45.0,133.0,114.65
45.0,134.0,68.97999999999999
45.0,135.0,17.21
45.0,136.0,17.49
45.0,137.0,4.27
45.0,138.0,0.0
45.0,139.0,0.0
45.0,140.0,0.7200000000000006
45.0,141.0,11.03
45.0,142.0,29.979999999999997
45.0,143.0,2.7799999999999994
45.0,144.0,0.0
45.0,145.0,0.0
45.0,146.0,0.0
